player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Auden Tate,auden tate,2018,2016,WR,WR,florida state,39.0,0.868,33.852,33.852,0.0,1.531,74.281,0.8679999999999999,1.0,0.0
Austin Proehl,austin proehl,2018,2014,WR,WR,north carolina,20.0,0.318,6.363,6.997,-0.634,3.375,86.936,0.31815,1.0,0.0
Braxton Berrios,braxton berrios,2018,2014,WR,WR,miami,37.0,0.457,16.925,16.925,0.0,1.988,86.872,0.4574324324324325,1.0,0.0
Calvin Ridley,calvin ridley,2018,2015,WR,WR,alabama,125.0,0.508,63.557,63.773,-0.216,1.488,167.59300000000002,0.508456,1.0,0.0
Christian Kirk,christian kirk,2018,2015,WR,WR,texas aandm,132.0,0.395,52.085,50.482,1.603,1.227,148.59300000000002,0.3945833333333333,0.9692233848516848,0.0307766151483152
D.J. Moore,dj moore,2018,2015,WR,WR,maryland,47.0,0.432,20.312,19.683,0.628,1.235,109.844,0.4321702127659574,0.9690330838912956,0.0309176841276092
Daesean Hamilton,daesean hamilton,2018,2014,WR,WR,penn state,140.0,0.272,38.027,38.225,-0.198,2.194,181.178,0.2716214285714285,1.0,0.0
Dante Pettis,dante pettis,2018,2014,WR,WR,washington,27.0,0.646,17.431,17.431,0.0,2.581,162.992,0.6455925925925926,1.0,0.0
Darius Phillips,darius phillips,2018,2014,WR,WR,western michigan,32.0,0.727,23.269,22.827,0.442,0.7060000000000001,24.613,0.72715625,0.9810047702952428,0.0189952297047574
Deon Cain,deon cain,2018,2015,WR,WR,clemson,49.0,0.936,45.841,47.613,-1.773,2.04,132.832,0.935530612244898,1.0,0.0
Derrius Guice,derrius guice,2018,2015,RB,RB,lsu,56.0,0.416,23.278,2.127,21.151,0.942,138.343,0.4156785714285714,0.091373829366784,0.908626170633216
